,fi,en,,,NOTES – use \n for newline,max length
action_if_hp,Edellytys - Matala terveys,Requirement - Low Health,,,,
actiondesc_if_hp,"Seuraava loitsu ohitetaan, jos olet yli 25% terveydenhuollon vasen",The next spell is skipped if you have more than 25% health left,,,,
action_if_end,Edellytys - Endpoint,Requirement - Endpoint,,,,
actiondesc_if_end,Vaatimusta loitsuja ennen se ohittaa kaikki loitsuja niiden välillä ja tämä loitsu,Any Requirement spells before this will skip all spells between them and this spell,,,,
action_if_half,Edellytys - Joka toinen,Requirement - Every Other,,,,
actiondesc_if_half,Seuraava loitsu ohitetaan joka toinen kerta tämä loitsu on valettu,The next spell is skipped every other time this spell is cast,,,,
action_if_else,Edellytys - Muuten,Requirement - Otherwise,,,,
actiondesc_if_else,"Jos vaatimus oikeinkirjoituksen ennen tätä onnistuu, seuraava loitsu ohitetaan","If a Requirement spell before this succeeds, the next spell is skipped",,,,
action_bloodlust,Verenhimo,Bloodlust,,,,
actiondesc_bloodlust,"Ammuksen saa mojova vaurioita vauhtia, mutta pystyy myös satuttaa sinua","A projectile gains a hefty damage boost, but is also able to hurt you",,,,
action_colour_red,punainen Glimmer,Red Glimmer,,,,
actiondesc_colour_red,Antaa ammuksen punainen kimaltava polkua,Gives a projectile a red sparkly trail,,,,
action_colour_green,Green Glimmer,Green Glimmer,,,,
actiondesc_colour_green,Antaa ammuksen vihreä hapokas trail,Gives a projectile a green sparkly trail,,,,
action_colour_purple,violetti Glimmer,Purple Glimmer,,,,
actiondesc_colour_purple,Antaa ammuksen violetti kimaltava polkua,Gives a projectile a purple sparkly trail,,,,
action_colour_orange,oranssi Glimmer,Orange Glimmer,,,,
actiondesc_colour_orange,Antaa ammuksen oranssi hapokas trail,Gives a projectile a orange sparkly trail,,,,
action_colour_blue,sininen Glimmer,Blue Glimmer,,,,
actiondesc_colour_blue,Antaa ammuksen sininen hapokas trail,Gives a projectile a blue sparkly trail,,,,
action_colour_yellow,keltainen Glimmer,Yellow Glimmer,,,,
actiondesc_colour_yellow,Antaa ammuksen keltainen hapokas trail,Gives a projectile a yellow sparkly trail,,,,
action_colour_invis,näkymätön Spell,Invisible Spell,,,,
actiondesc_colour_invis,Kääntyy ammuksen näkymätön,Turns a projectile invisible,,,,
action_colour_rainbow,Rainbow Glimmer,Rainbow Glimmer,,,,
actiondesc_colour_rainbow,Antaa ammuksen satunnaisesti värillinen kuohuvaa polku,Gives a projectile a randomly colored sparkly trail,,,,
status_teleportation,Teleportitis,Teleportitis,,,,
statusdesc_teleportation,Te Teleport hallitsemattomasti aina silloin tällöin.,You teleport uncontrollably every now and then.,,,,
status_blindness,sokkoutetuilla,Blinded,,,,
statusdesc_blindness,Voit tuskin nähdä mitään!,You can barely see a thing!,,,,
perkdesc_glass_cannon,"Loitsuja ovat 5 kertaa niin voimakas, mutta korkein terveydestä tulee 50, eikä sitä voida korottaa normaalia sydämet.","Your spells are 5 times as powerful, but your maximum health becomes 50 and cannot be increased by normal hearts.",,,,
perk_radar_item,Kohta Tutka,Item Radar,,,,
perkdesc_radar_item,Voit aistia lähellä kohteita.,You can sense nearby items.,,,,
perk_radar_moon,moon Tutka,Moon Radar,,,,
perkdesc_radar_moon,Voit aistia kuun energiaa.,You can sense lunar energy.,,,,
action_explosion_remove,Poista Räjähdys,Remove Explosion,,,,
actiondesc_explosion_remove,Tekee ammuksen enää räjähtää,Makes a projectile no longer explode,,,,
perk_extra_potion_capacity,Extra Potion Kapasiteetti,Extra Potion Capacity,,,,
perkdesc_extra_potion_capacity,Juoma tallentaa 80% enemmän nestettä,Potions store 80% more liquid,,,,
perkdesc_hearts_more_extra_hp,Sydämet suoda enemmän maksimi terveyttä.,Hearts bestow more maximum health.,,,,
perk_vomit_rats,Spontaani sukupolvi,Spontaneous Generation,,,,
perkdesc_vomit_rats,Oksentaa lähelläsi kehittyy hyödyllistä rotan kätyreitä,Vomit near you evolves into helpful rat minions,,,,
mat_rat_powder,ratty jauhe,Ratty powder,,,,
mat_poo_gas,kuvottava kaasu,Nauseating gas,,,,
perk_revenge_rats,kosto Rotat,Revenge Rats,,,,
perkdesc_revenge_rats,"Kun otat vahinkoa, on olemassa mahdollisuus, että hyödyllinen rotta käskyläinen haastetaan","When you take damage, there's a chance that a helpful rat minion is summoned",,,,
streamingevent_add_always_cast,aina Cast,Always Cast,,,,
streamingeventdesc_add_always_cast,Kyseisellä hetkellä pidettävät sauva saa pysyvän aina valettu oikeinkirjoituksen! (Max. 4),Your currently-held wand gets a permanent always cast spell! (max. 4),,,,
action_expanding_orb,laajeneva Sphere,Expanding Sphere,,,,
actiondesc_expanding_orb,"Hidas ammus, joka lisää sen vahingon ajan",A slow projectile that increases its damage over time,,,,
action_homing_projectile,Seuraa loitsut,Follow Spells,,,,
actiondesc_homing_projectile,Tekee ammuksen kodin kohti muita ammuksen loitsuja,Makes a projectile home towards other projectile spells,,,,
mat_orb_powder,Arvioitu jauhe,Guiding powder,,,,
action_vacuum_powder,Jauhe Vacuum Field,Powder Vacuum Field,,,,
actiondesc_vacuum_powder,Sucks jauhe materiaaleiksi lähellä ja vapauttaa ne kiinni päättyvän,Sucks powder-like materials nearby and releases them upon expiring,,,,
action_vacuum_liquid,Neste Vacuum Field,Liquid Vacuum Field,,,,
actiondesc_vacuum_liquid,Imee nestemäisiä aineita lähistöllä ja vapauttaa ne kiinni päättyvän,Sucks liquid materials nearby and releases them upon expiring,,,,
item_essence_stone,Essence Eater,Essence Eater,,,,
animal_physics_pata,pata,Pata,,,,
item_wand_experimental_1,kokeellinen Wand,Experimental Wand,,,,
item_wand_experimental_2,kokeellinen Wand,Experimental Wand,,,,
booktitle_fisher,Alchemist huomautus,Alchemist's Note,,,,
bookdesc_fisher,"”Täällä minä olen turvassa. Olen turvassa. \ni jätti muut taakse, ja olen lukittuna tutkimukseni siten, että vain ne, joilla on todellinen ymmärrys voi saavuttaa sen. \ni ei pitäisi huolestua. Niin kauan kuin olen vastustaa kiusausta, aion olla turvassa. \ni tietää rajani. Tässä olen kaukana niistä. \n \ni ei pitäisi huolestua.”","”Here I'm safe. I am safe.\nI left the others behind, and I have locked my research so that only those with real understanding can reach it.\nI should not worry. As long as I resist the temptation, I will be safe.\nI know my limits. Here I am far away from them.\n\nI should not worry.”",,,,
biome_rainforest_dark,Lukki pesään,Lukki lair,,,,
mat_darkness,uhkaava neste,Ominous liquid,,,,
action_phasing_arc,vaiheistus Arc,Phasing Arc,,,,
actiondesc_phasing_arc,"Tekee ammus lentää paljon hitaampi, mutta Teleport lyhyitä matkoja lentoaan","Makes a projectile fly much slower, but teleport short distances over its flight",,,,
status_homing_shooter,Self-homing loitsut,Self-homing Spells,,,,
statusdesc_homing_shooter,Loitsuja kotiin kohti itse jonkin aikaa.,Your spells home towards yourself for a time.,,,,
perkdesc_lower_spread,Loitsuja enemmän vahinkoa ja laskea leviämistä ja lisääntynyt valettu viive.,Your spells deal more damage and have lower spread and increased cast delay.,,,,
perkdesc_laser_aim,"Loitsuja lentää nopeammin ja niillä on pienempi levitä, ja sinulla on kätevä sightline tähtäämiseen!","Your spells fly faster and have lower spread, and you have a handy sightline for aiming!",,,,
status_drunk_ui,magic Drunkenness,Magic Drunkenness,,,,
statusdesc_drunk_ui,Loitsuja eivät ole yhtä tarkkoja ja olet enemmän syttyvä jonkin aikaa.,Your spells are less accurate and you're more flammable for a time.,,,,
status_movement_slower_ui,hitaampi Movement,Slower Movement,,,,
statusdesc_movement_slower_ui,Siirrät hitaammin jonkin aikaa.,You move slower for a time.,,,,
status_confusion_ui,sekaannus,Confusion,,,,
statusdesc_confusion_ui,Liikettä on epävarma jonkin aikaa.,Your movement is unsure for a time.,,,,
damage_orb_blood,veren linkki,blood link,,,,
boss_wizard_1,Olet sekava!,You're confused!,,,,
boss_wizard_2,Olet humalassa!,You're drunk!,,,,
boss_wizard_3,Terveys on puolittunut!,Your health is halved!,,,,
boss_wizard_4,Siirrät hitaammin!,You move more slowly!,,,,
boss_wizard_5,Olet hermostunut!,You're twitchy!,,,,
boss_wizard_6,Sinä heikentynyt!,You're weakened!,,,,
boss_wizard_7,Sinä musertava!,You're withering!,,,,
boss_wizard_8,Oman ammukset kotiin takaisin sinulle!,Your projectiles home back to you!,,,,
action_vacuum_entities,Vacuum Field,Vacuum Field,,,,
actiondesc_vacuum_entities,Sucks lähellä ammukset ja olentoja keskelle kentän välittömästi,Sucks nearby projectiles and creatures into the middle of the field instantaneously,,,,
action_bloodtentacle,veren Tentacle,Blood Tentacle,,,,
actiondesc_bloodtentacle,"Kun tämä lonkero osuu vihollinen, sanoi vihollinen käynnistää myös lonkero","When this tentacle hits an enemy, said enemy will also launch a tentacle",,,,
action_explosion_tiny,väkevää Räjähdys,Concentrated Explosion,,,,
actiondesc_explosion_tiny,Rajoittaa säde ammuksen räjähdys raskaasti,Limits the radius of a projectile's explosion heavily,,,,
action_liquid_to_explosion,neste Detonation,Liquid Detonation,,,,
actiondesc_liquid_to_explosion,Käännynnäisten lähellä nonmagical nesteitä räjähtävää ruutia,Converts nearby nonmagical liquids into explosive gunpowder,,,,
action_laser_emitter_four,Plasma Beam Cross,Plasma Beam Cross,,,,
actiondesc_laser_emitter_four,"Neljä tappava plasman säteet rajat muoto. Varoa, he voivat satuttaa sinua samoin!","Four deadly plasma beams in a cross-shape. Look out, they can hurt you as well!",,,,
action_laser_emitter_ray,Plasma Beam Thrower,Plasma Beam Thrower,,,,
actiondesc_laser_emitter_ray,Ammuksen tulipalot plasman palkit kaikkiin suuntiin!,A projectile fires plasma beams in all directions!,,,,
action_bounce_laser_emitter,Plasma Beam Bounce,Plasma Beam Bounce,,,,
actiondesc_bounce_laser_emitter,Ammuksen käynnistää plasma säteen pomppivan,A projectile launches a plasma beam upon bouncing,,,,
action_homing_cursor,Tähtäimessä Arc,Aiming Arc,,,,
actiondesc_homing_cursor,Ammus pyörii suuntaan olet tavoitteena,A projectile rotates towards the direction you're aiming,,,,
booktitle_mestari,Viekas härveli,A Cunning Contraption,,,,
bookdesc_mestari,"”Salaisuus piilee musiikkia! \n \n- avain taivaan lukko rasittavia musiikista ympäri maailman. \n \nja tavalla, kuten edellä, niin alhaalla ...”","”The secret lies in music!\n\nThe key to the heavens' lock is borne from music all over the world.\n\nAnd in a way, as above, so below...”",,,,
biome_mestari_secret,Valtaistuinhuone,Throne room,,,,
streamingevent_fireworks,Ilotulitus!,Fireworks!,,,,
streamingeventdesc_fireworks,Täysin turvallisia (tietylle arvo turvallinen),Entirely safe (for a given value of safe),,,,
streamingevent_holiday_mood,loma tuulella,Holiday Mood,,,,
streamingeventdesc_holiday_mood,Let it be lunta,Let it be snow,,,,
streamingeventdesc_holiday_mood_2,Let it snow,Let it snow,,,,
perk_contact_damage,Yhteydenotto Vahinko,Contact Damage,,,,
perkdesc_contact_damage,Vihollisia lähellä otat vahinkoa; vahinko on suurempi alemmalla terveydelle saa.,Enemies near you take damage; the damage is higher the lower your health gets.,,,,
mat_metal_sand,metallipölyn,Metal dust,,,,
mat_metal_sand_molten,Sula metalli,Molten metal,,,,
item_evil_eye,Paha Silmä,Paha Silmä,,,,
item_description_evil_eye,Silmän muotoinen artefakti hankkeita pahansuopa häikäisyä,This eye-shaped artefact projects a malevolent glare,,,,
animal_lukki_dark,Kammolukki,Kammolukki,,,,
item_wand_kiekurakeppi,Kiekurakeppi,Kiekurakeppi,,,,
item_wand_valtikka,Valtikka,Valtikka,,,,
action_sigma,sigma,Sigma,,,,
actiondesc_sigma,"Kopioita joka staattinen ammuksen tyyppinen loitsun sauva, kun valettu",Copies every static projectile -type spell in the wand when cast,,,,
action_tau,Tau,Tau,,,,
actiondesc_tau,"Kopioi seuraavat kaksi loitsuja sauva, kun valettu",Copies the two following spells in the wand when cast,,,,
material_transformed,$0 (Muuttunut),$0 (Transformed),,,,
logdesc_reality_mutation,Kuulet sanan ”$0” kaikuu ja siirtymässä väreissä,You hear the word “$0” echoing and shifting in colours,,,,
action_laser_emitter_cutter,plasmaleikkuri,Plasma Cutter,,,,
actiondesc_laser_emitter_cutter,Plasma palkki erikoistunut leikkaamisen!,A plasma beam specialized in cutting materials!,,,,
action_laser_emitter_wider,Plasma Beam Enhancer,Plasma Beam Enhancer,,,,
actiondesc_laser_emitter_wider,Tekee plasmasädekimpun oikeinkirjoituksen n säde laajempi,Makes plasma beam spell's beam wider,,,,
item_chest_treasure_pacifist,Pasifisti palkan,A Pacifist's Reward,,,,
biomemodifierdesc_high_gravity,Ilma tuntuu raskaalta ...,The air feels heavy...,,,,
biomemodifierdesc_low_gravity,Ilma tuntuu valo ...,The air feels light...,,,,
streamingevent_rain_blackhole,painovoima Storm,Gravity Storm,,,,
streamingeventdesc_rain_blackhole,Useita mustia aukkoja auki lähistöllänne !!,Multiple black holes open in your vicinity!!,,,,
animal_necromancer_super,Skoude,Skoude,,,,
input_xboxbutton_dpad_up,D-Pad ylös,D-Pad up,,,,
input_xboxbutton_dpad_down,D-Pad alas,D-Pad down,,,,
input_xboxbutton_dpad_left,D-Pad vasemmalle,D-Pad left,,,,
input_xboxbutton_dpad_right,D-Pad oikeassa,D-Pad right,,,,
input_xboxbutton_back,TAKAISIN,BACK,,,,
input_xboxbutton_left_thumb,vasen peukalo,Left thumb,,,,
input_xboxbutton_right_thumb,oikea peukalo,Right thumb,,,,
input_xboxbutton_left_shoulder,vasen olkapää,Left shoulder,,,,
input_xboxbutton_right_shoulder,oikea olkapää,Right shoulder,,,,
input_xboxbutton_left_stick_moved,Vasen tikku,Left stick,,,,
input_xboxbutton_right_stick_moved,oikealla sauvalla,Right stick,,,,
input_xboxbutton_a,,A,,,,
input_xboxbutton_b,B,B,,,,
input_xboxbutton_x,X,X,,,,
input_xboxbutton_y,Y,Y,,,,
input_xboxbutton_4,Painike # 5,Button #5,,,,
input_xboxbutton_5,Painike # 6,Button #6,,,,
input_xboxbutton_6,Painike # 7,Button #7,,,,
input_xboxbutton_7,Painike # 8,Button #8,,,,
input_xboxbutton_8,Painike # 9,Button #9,,,,
input_xboxbutton_9,Painike # 10,Button #10,,,,
input_xboxbutton_10,Painike # 11,Button #11,,,,
input_xboxbutton_11,Painike # 12,Button #12,,,,
input_xboxbutton_12,Painike # 13,Button #13,,,,
input_xboxbutton_13,Painike # 14,Button #14,,,,
input_xboxbutton_14,Painike # 15,Button #15,,,,
input_xboxbutton_15,Painike # 16,Button #16,,,,
input_xboxbutton_left_stick_left,Vasenta sauvaa vasemmalle,Left stick left,,,,
input_xboxbutton_left_stick_right,Vasemman sauvan oikea,Left stick right,,,,
input_xboxbutton_left_stick_up,Vasen ryöstää,Left stick up,,,,
input_xboxbutton_left_stick_down,Vasenta sauvaa alas,Left stick down,,,,
input_xboxbutton_right_stick_left,Oikeaa sauvaa vasemmalle,Right stick left,,,,
input_xboxbutton_right_stick_right,Oikeaa sauvaa oikealle,Right stick right,,,,
input_xboxbutton_right_stick_up,Oikea tikku ylös,Right stick up,,,,
input_xboxbutton_right_stick_down,Oikealla sauvalla alas,Right stick down,,,,
input_xboxbutton_analog_00,Vasen liipaisin,Left trigger,,,,
input_xboxbutton_analog_01,Oikea liipaisin,Right trigger,,,,
input_xboxbutton_analog_02,Analoginen painiketta # 3,Analog button #3,,,,
input_xboxbutton_analog_03,Analoginen painiketta # 4,Analog button #4,,,,
input_xboxbutton_analog_04,Analoginen painiketta # 5,Analog button #5,,,,
input_xboxbutton_analog_05,Analoginen painiketta # 6,Analog button #6,,,,
input_xboxbutton_analog_06,Analoginen painiketta # 7,Analog button #7,,,,
input_xboxbutton_analog_07,Analoginen painiketta # 8,Analog button #8,,,,
input_xboxbutton_analog_08,Analoginen painiketta # 9,Analog button #9,,,,
input_xboxbutton_analog_09,Analoginen painiketta # 10,Analog button #10,,,,
input_leftshift,vasen vaihtonäppäin,left shift,,,,
input_rightshift,oIKEA VAIHTO,right shift,,,,
controls_aim_stick,tavoite,aim,,,,
controls_drop_item,(UI) pudota kohta,(UI) drop item,,,,
controls_drink_potion,(UI) juoda juoma,(UI) drink potion,,,,
controls_ui_confirm,(UI) confirm,(UI) confirm,,,,
controls_ui_drag,(UI) vetämällä,(UI) drag,,,,
controls_takescreenshot,ottaa kuvakaappaus,take screenshot,,,,
controls_ui_quick_drag,(UI) auto vetää,(UI) auto drag,,,,
perk_adventurer,terveet Exploration,Healthy Exploration,,,,
perkdesc_adventurer,"Joka kerta kun käyt uusi alue, sinua takaisin 60 terveyttä.","Every time you visit a new area, you regain 60 health.",,,,
log_adventurer,Uusi alue saavutettu! Sinua takaisin 60 terveyteen.,New area reached! You regain 60 health.,,,,
action_damage_forever,Manaa vaurioille,Mana To Damage,,,,
actiondesc_damage_forever,"Jos sauva on yli 50 mana, kaikki mana yli, joka muunnetaan lisävahinkoa","If the wand has more than 50 mana, all mana over that is converted into additional damage",,,,
action_homing_area,Ammuksen Area Teleport,Projectile Area Teleport,,,,
actiondesc_homing_area,"Jos kelvollinen Kohde näkyy jossain läheisyydessä ammuksen, ammus teleporttaa oikeus päälle kohde","If a valid target appears somewhere in the proximity of a projectile, the projectile will teleport right on top of the target",,,,
animal_snowcrystal,Haamukivi,Haamukivi,,,,
ethereal_damage,aavemainen kosketus,Ghostly touch,,,,
animal_ethereal_being,Olematon,Olematon,,,,
perkdesc_exploding_gold,"Gold laski vihollisia räjähtää, kun se katoaa, on kyytiin tai koskettanut muut viholliset!","Gold dropped by enemies explodes when it disappears, is picked up or touched by other enemies!",,,,
action_bomb_detonator,räjähtävien sytyttimien,Explosive Detonator,,,,
actiondesc_bomb_detonator,Kaikki lähellä räjähtävää loitsuja valettu sinulle heti Räjäytetään,All nearby explosive spells cast by you instantly detonate,,,,
logdesc_temple_upgrade_guardian,Jumalat raivoissaan,The Gods are enraged,,,,
screenshot_saved,Tallennettu kuvakaappaus 0 $,Saved a screenshot to $0,,,,
item_wand_ruusu,Ruusu,Ruusu,,,,
action_orbit_discs,sahanterän Orbit,Sawblade Orbit,,,,
actiondesc_orbit_discs,Esittää neljä teriä kiertämään ammuksen,Makes four sawblades rotate around a projectile,,,,
action_orbit_fireballs,Fireball Orbit,Fireball Orbit,,,,
actiondesc_orbit_fireballs,Esittää neljä tulipalloja kiertämään ammuksen,Makes four fireballs rotate around a projectile,,,,
action_orbit_nukes,Nuke Orbit,Nuke Orbit,,,,
actiondesc_orbit_nukes,Esittää neljä ... ydinaseita (?!) pyörimään ammuksen,Makes four… nukes(?!) rotate around a projectile,,,,
action_orbit_lasers,Plasma Beam Orbit,Plasma Beam Orbit,,,,
actiondesc_orbit_lasers,Tekee neljä plasman palkit pyörimään ammuksen,Makes four plasma beams rotate around a projectile,,,,
action_orbit_larpa,kiertävät Larpa,Orbit Larpa,,,,
actiondesc_orbit_larpa,Tekee neljä kopiota ammuksen ympäri pyöriväksi,Makes four copies of a projectile rotate around it,,,,
actiondesc_delta,Heittää kopio seuraavan loitsu sauva,Casts a copy of the next spell in your wand,,,,
actiondesc_gamma,Heittää kopio viime loitsu sauva,Casts a copy of the last spell in your wand,,,,
log_greed_curse_away,Kristalli pirstoutuu!,The crystal shatters!,,,,
logdesc_greed_curse_away,"Kirous on mennyt pois, mutta niin on aarteita sen myöntää.","The curse has gone away, but so have the treasures it grants.",,,,
log_greed_curse_return,Kirous on aktivoitu uudelleen!,The curse has reactivated!,,,,
action_slow_but_steady,Hitaasti mutta varmasti,Slow But Steady,,,,
actiondesc_slow_but_steady,"Uudelleenlatauspainiketta aika sauva asetetaan tarkalleen 1,5 sekuntia",The reload time of the wand is set to exactly 1.5 seconds,,,,
actiondesc_tiny_ghost,"Kutsu pieni eteerinen on saada apua. Se voi valaa voimakkaampia loitsuja riippuen siitä, kuinka paljon vahinkoa olet kärsinyt.",Summons a tiny ethereal being to your help. It may cast stronger spells depending on how much damage you have suffered.,,,,
item_wandstone,Sauvan Ydin,Sauvan Ydin,,,,
itemdesc_wandstone,Tämä artefakti voi avata potentiaalia sauvat sinulle ilman etuisuuksia ...,This artefact can open the potential of wands to you even without perks...,,,,
item_greed_die,ahneus Die,Greed Die,,,,
itemdesc_greed_die,Nimi voi olla osuvampi kuin ajattelee.,The name may be more apt than one thinks.,,,,
item_greed_die_good,Nauti rikkaudet!,Enjoy your riches!,,,,
item_greed_die_bad,Sainpas!,Gotcha!,,,,
mat_gem_box2d_turquoise,turkoosi jalokivi,Turquoise gemstone,,,,
item_powder_stash,materiaali box,Material box,,,,
itemdesc_powder_stash,Kätevä laatikko kuljettaa jauhemaisia ​​materiaaleja.,A handy box for carrying powdery materials.,,,,
item_powder_stash_2,Laukku,Bag,,,,
itemdesc_powder_stash_2,Kätevä laukku kuljettaa jauhemaisia ​​materiaaleja.,A handy bag for carrying powdery materials.,,,,
item_powder_stash_3,jauhe pussi,Powder pouch,,,,
itemdesc_powder_stash_3,Kätevä pussi kuljetukseen jauhemaisten materiaalien.,A handy pouch for carrying powdery materials.,,,,
item_powder_stash_4,Säkki,Sack,,,,
itemdesc_powder_stash_4,Kätevä säkki kuljettamiseen jauhemaisten materiaalien.,A handy sack for carrying powdery materials.,,,,
item_powder_stash_with_material,$0 laatikko,$0 box,,,,
item_powder_stash_with_material_2,$0 laukku,$0 bag,,,,
item_powder_stash_with_material_3,$0 pussi,$0 pouch,,,,
item_powder_stash_with_material_4,$0 säkki,$0 sack,,,,
perk_hungry_ghost,Hungry Ghost,Hungry Ghost,,,,
perkdesc_hungry_ghost,"Haaste onnellinen juoksupoika, joka tulee syödä vihollinen ammuksen aina silloin tällöin, ja antaa sinulle väliaikainen ylimääräistä vahinkoa.","Summons a happy minion who'll eat enemy projectile every now and then, and grant you temporary extra damage.",,,,
status_damage_plus_small,vahinko Boost,Damage Boost,,,,
statusdesc_damage_plus_small,Sinun vahinko on lisännyt vain hieman aikaa.,Your damage is boosted slightly for a time.,,,,
item_runestone_metal,Runestone Metal,Runestone of Metal,,,,
perk_death_ghost,surullinen Spirit,Mournful Spirit,,,,
perkdesc_death_ghost,"Dying olentoja jättävät jälkeensä henki, joka käsittelee vahingot pienellä alueella.",Dying creatures leave behind a spirit that deals damage in a small area.,,,,
perk_risky_critical,Läheltä piti tilanne,Close Call,,,,
perkdesc_risky_critical,Saat lisää mahdollisuuksia käsitellä kriittisiä osumia niin kauan kuin on olemassa vihollisia lähelläsi.,You gain additional chance to deal critical hits as long as there are enemies near you.,,,,
action_curse,venomous Curse,Venomous Curse,,,,
actiondesc_curse,"Imbues ammuksesta ja kirous, joka ollen tavoite iski ammuksen kuihtua",Imbues a projectile with a curse that makes the target hit by the projectile to waste away,,,,
damage_hitfx_curse,venomous Curse,Venomous Curse,,,,
action_exploding_ducks,Parven Ducks,Flock of Ducks,,,,
actiondesc_exploding_ducks,Haaste kaoottinen parven mausteinen ankkoja,Summons a chaotic flock of spicy ducks,,,,
action_money_magic,Kulta Power,Gold to Power,,,,
actiondesc_money_magic,Kuluttaa 5% nykyisestä kullan ja lisää vahinkoa ammus verrannollinen käytetyn,Spends 5% of your current gold and adds damage to a projectile proportional to the amount spent,,,,
perkdesc_hungry_ghost,"Haaste onnellinen juoksupoika, joka tulee syödä vihollinen ammuksen aina silloin tällöin.",Summons a happy minion who'll eat enemy projectile every now and then.,,,,
menuoptions_gamepad_analog_flying,Peliohjain Analog lentävät: $0,Gamepad analog flying: $0,,,,
inventory_mod_damage_ice,DMG. jää,Dmg. Ice,,,,
inventory_mod_damage_slice,DMG. Viipale,Dmg. Slice,,,,
inventory_mod_damage_healing,DMG. Healing,Dmg. Healing,,,,
inventory_mod_damage_curse,DMG. Kirous,Dmg. Curse,,,,
inventory_mod_damage_drill,DMG. Porata,Dmg. Drill,,,,
inventory_dmg_healing,DMG. Healing,Dmg. Healing,,,,
inventory_dmg_curse,DMG. Kirous,Dmg. Curse,,,,
status_curse_wither_projectile,Heikkenevä Curse - Ammukset,Weakening Curse - Projectiles,,,,
statusdesc_curse_wither_projectile,Otat 25% ylimääräistä vahinkoa ammuksia.,You take 25% extra damage from projectiles.,,,,
status_curse_wither_explosion,Heikkenevä Curse - räjähteet,Weakening Curse - Explosives,,,,
statusdesc_curse_wither_explosion,Otat 25% ylimääräistä vahinkoa räjähdyksistä.,You take 25% extra damage from explosions.,,,,
status_curse_wither_melee,Heikkenevä Curse - nujakka,Weakening Curse - Melee,,,,
statusdesc_curse_wither_melee,Otat 25% ylimääräistä vahinkoa nujakka iskut.,You take 25% extra damage from melee attacks.,,,,
status_curse_wither_electricity,Heikkenevä Curse - Sähkö,Weakening Curse - Electricity,,,,
statusdesc_curse_wither_electricity,Otat 25% ylimääräistä vahinkoa sähköä.,You take 25% extra damage from electricity.,,,,
action_curse_wither_projectile,Heikkenevä Curse - Ammukset,Weakening Curse - Projectiles,,,,
actiondesc_curse_wither_projectile,Target osui ammus kestää 25% enemmän ammus vahinkoa jonkin aikaa,Target hit by a projectile takes 25% extra projectile damage for a time,,,,
action_curse_wither_explosion,Heikkenevä Curse - räjähteet,Weakening Curse - Explosives,,,,
actiondesc_curse_wither_explosion,Target osui ammus kestää 25% enemmän räjähdys vahinkoa jonkin aikaa,Target hit by a projectile takes 25% extra explosion damage for a time,,,,
action_curse_wither_melee,Heikkenevä Curse - nujakka,Weakening Curse - Melee,,,,
actiondesc_curse_wither_melee,Target osui ammus kestää 25% ylimääräistä nujakka vahinko ajaksi,Target hit by a projectile takes 25% extra melee damage for a time,,,,
action_curse_wither_electricity,Heikkenevä Curse - Sähkö,Weakening Curse - Electricity,,,,
actiondesc_curse_wither_electricity,Target osui ammus kestää 25% enemmän sähköä vahinkoa jonkin aikaa,Target hit by a projectile takes 25% extra electricity damage for a time,,,,
action_worm_shot,Worm Launcher,Worm Launcher,,,,
actiondesc_worm_shot,Haaste jättiläinen mato aiheuttaa tuhoa hetkeksi!,Summons a giant worm to cause havoc for a moment!,,,,
action_black_hole_death_trigger,Black Hole Death Trigger,Black Hole with Death Trigger,,,,
actiondesc_black_hole_death_trigger,Hidas Orb mitätön joka syö läpi kaikki esteet ja heittää toisen oikeinkirjoituksen kuin se vanhenee,A slow orb of void that eats through all obstacles and casts another spell as it expires,,,,
perk_food_clock,Syö kasviksesi,Eat Your Vegetables,,,,
perk_food_clock_2,Ruoka Kello,Food Clock,,,,
perkdesc_food_clock,"Te aiheuttavat enemmän vahinkoa enemmän kylläinen olet, mutta alkaa menettää terveyttä, jos vatsa on tyhjä.","You inflict more damage the more satiated you are, but you start losing health if your stomach is empty.",,,,
damage_hunger,Nälkä,Hunger,,,,
mat_porridge,rempseä Puuro,Hearty Porridge,,,,
log_greed_curse_away_short,Kirous haihtuu nyt ...,The curse dissipates for now...,,,,
logdesc_greed_curse_away_short,... mutta se tulee takaisin!,...but it will be back!,,,,
animal_parallel_alchemist,Alkemistin Varjo,Alkemistin Varjo,,,,
animal_parallel_tentacles,Kolmisilmän Kätyri,Kolmisilmän Kätyri,,,,
animal_hpcrystal,Elvytyskristalli,Elvytyskristalli,,,,
status_rainbow_farts,Rainbow farts,Rainbow farts,,,,
statusdesc_rainbow_farts,"Avaa silmäsi, näen \nAikaisemmat silmät ovat auki \nWear ei naamioida minulle \nCome avoimeen \n","Open your eyes, I see\nYour eyes are open\nWear no disguise for me\nCome into the open\n",,,,
mat_rainbow,Sateenkaari,Rainbow,,,,
mat_rainbow_gas,Yksisarvisen pierut,Unicorn farts,,,,
action_rainbow_trail,Rainbow trail,Rainbow trail,,,,
actiondesc_rainbow_trail,Antaa ammus metsään sateenkaaren,Gives a projectile a trail of rainbow,,,,
item_gold_orb,Shiny orb,Shiny orb,,,,
itemdesc_gold_orb,"Se surisee hieman. Mitä tapahtuu, jos kick it, olet ihme ...","It hums slightly. What happens if you kick it, you wonder...",,,,
